GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.05892944;0;None;-3.199712;1.273216;6.371324;0;1;-4;0;0;
0.05491638;0;None;-3.206355;1.495247;6.235049;0;1;-4;0;0;
0.05467987;0;None;-3.218651;1.749906;6.026627;0;1;-4;0;0;
0.05540466;0;None;-3.228179;1.868871;5.790802;0;1;-4;0;0;
0.05638123;0;None;-3.197799;1.806229;5.670445;0;1;-4;0;0;
0.05519104;0;None;-3.148869;1.683769;5.870564;0;1;-4;0;0;
0.05550385;0;None;-3.093075;1.536283;6.341406;0;1;-4;0;0;
0.05526733;0;None;-3.010602;1.42854;7.14143;0;1;-4;0;0;
0.05610657;0;None;-2.902481;1.421561;8.641524;0;1;-4;0;0;
0.05564117;0;None;-2.235442;1.225091;9.179783;0;1;-4;0;0;
0.05562592;0;None;-1.434936;0.9260278;9.213568;0;1;-4;0;0;
0.05540466;0;None;-0.7967138;0.6644239;9.214141;0;1;-4;0;0;
0.05564117;0;None;-0.3294751;0.4417452;9.200035;0;1;-4;0;0;
0.05602264;0;None;-0.01635266;0.2495436;9.179825;0;1;-4;0;0;
0.05581665;0;None;0.1664267;0.1217255;9.162931;0;1;-4;0;0;
0.05570221;0;None;0.2408441;0.06515008;9.154335;0;1;-4;0;0;
0.05527496;0;None;0.2536561;0.04991786;9.151379;0;1;-4;0;0;
0.05576324;0;None;0.2443259;0.0336464;9.149205;0;1;-4;0;0;
0.05591583;0;None;0.2790515;0.01402685;9.146012;0;1;-4;0;0;
0.05584717;0;None;0.3626367;-0.02484724;9.141278;0;1;-4;0;0;
0.05565643;0;None;0.4997457;-0.03916883;9.13648;0;1;-4;0;0;
0.05544281;0;None;0.709282;-0.008443926;9.13695;0;1;-4;0;0;
0.05592346;0;None;0.9336917;0.04359557;9.141448;0;1;-4;0;0;
0.05569458;0;None;1.159775;0.1340062;9.147789;0;1;-4;0;0;
0.05589294;0;None;1.33103;0.2518801;9.160319;0;1;-4;0;0;
0.0552597;0;None;1.392523;0.4084029;9.182363;0;1;-4;0;0;
0.05575562;0;None;1.362047;0.5707369;9.205625;0;1;-4;0;0;
0.05600739;0;None;1.281369;0.7308516;9.226995;0;1;-4;0;0;
0.0558548;0;None;1.208351;0.8914998;9.245766;0;1;-4;0;0;
0.05562592;0;Cylinder (26);1.154737;1.044262;9.261787;0;1;-4;0;3.838368;
0.05538177;0;Cylinder (26);1.121891;1.161878;9.275131;0;1;-4;0;3.838368;
0.05592346;0;Cylinder (26);1.104048;1.258067;9.284856;0;1;-4;0;3.838368;
0.05577087;0;Cylinder (26);1.091493;1.34571;9.292143;0;1;-4;0;3.838368;
0.05583954;0;Cylinder (26);1.076531;1.447267;9.300452;0;1;-4;0;3.838368;
0.05573273;0;Cylinder (26);1.072354;1.542104;9.306979;0;1;-4;0;3.838368;
0.05522919;0;None;1.065407;1.644029;9.315317;0;1;-4;0;3.838368;
0.05592346;0;None;1.042231;1.743229;9.322189;0;1;-4;0;3.838368;
0.05580139;0;None;0.9628929;1.829955;9.331944;0;1;-4;0;3.838368;
0.05575562;0;None;0.7844408;1.9276;9.341014;0;1;-4;0;3.838368;
0.05542755;0;None;0.5630971;2.014827;9.345745;0;1;-4;0;3.838368;
0.05568695;0;None;0.3306609;2.10479;9.346629;0;1;-4;0;3.838368;
0.05593872;0;None;0.08069926;2.194564;9.343403;0;1;-4;0;3.838368;
0.05587769;0;None;-0.1637341;2.317455;9.337511;0;1;-4;0;3.838368;
0.05545807;0;None;-0.3894497;2.507182;9.32506;0;1;-4;0;3.838368;
0.05557251;0;None;-0.5857626;2.766356;9.210219;0;1;-4;0;3.838368;
0.05592346;0;None;-0.6901291;2.772189;8.477833;0;1;-4;0;3.838368;
0.05569458;0;None;-0.7711173;2.776559;8.025102;0;1;-4;0;3.838368;
0.05573273;0;None;-0.8446972;2.778538;7.713008;0;1;-4;0;3.838368;
0.05571747;0;None;-0.938088;2.777713;7.547164;0;1;-4;0;3.838368;
0.0555954;0;None;-1.087132;2.773855;7.453517;0;1;-4;0;3.838368;
0.05574799;0;None;-1.298336;2.767743;7.37554;0;1;-4;0;3.838368;
0.05602264;0;None;-1.559066;2.750662;7.303504;0;1;-4;0;3.838368;
0.05560303;0;None;-1.883687;2.727862;7.266517;0;1;-4;0;3.838368;
0.05537415;0;None;-2.259545;2.702508;7.278611;0;1;-4;0;3.838368;
0.0555954;0;None;-2.649019;2.679087;7.282589;0;1;-4;0;3.838368;
0.05609894;0;None;-3.008434;2.655262;7.281125;0;1;-4;0;3.838368;
0.05582428;0;None;-3.186362;2.54991;7.044805;0;1;-4;0;3.838368;
0.0555954;0;None;-3.169896;2.399782;6.647058;0;1;-4;0;3.838368;
0.055336;0;None;-3.158102;2.334685;6.475854;0;1;-4;0;3.838368;
0.05597687;0;None;-3.147513;2.298757;6.424725;0;1;-4;0;3.838368;
0.05580139;0;None;-3.129017;2.282906;6.54584;0;1;-4;0;3.838368;
0.05562592;0;None;-3.115211;2.291603;6.765004;0;1;-4;0;3.838368;
0.05574036;0;None;-3.103723;2.301785;7.05281;0;1;-4;0;3.838368;
0.05529022;0;None;-3.093757;2.325446;7.377183;0;1;-4;0;3.838368;
0.0559845;0;None;-3.082402;2.354037;7.736961;0;1;-4;0;3.838368;
0.05580139;0;None;-3.072181;2.391257;8.135367;0;1;-4;0;3.838368;
0.05557251;0;None;-3.061828;2.410524;8.546136;0;1;-4;0;3.838368;
0.05549622;0;None;-3.05401;2.3975;8.957397;0;1;-4;0;3.838368;
0.0555954;0;None;-2.945272;2.265705;9.131272;0;1;-4;0;3.838368;
0.05603027;0;None;-2.783131;2.05676;9.14092;0;1;-4;0;3.838368;
0.05578613;0;None;-2.660995;1.840668;9.140173;0;1;-4;0;3.838368;
0.05554199;0;None;-2.56353;1.619676;9.137101;0;1;-4;0;3.838368;
0.05548096;0;None;-2.49003;1.430466;9.124459;0;1;-4;0;3.838368;
0.05580902;0;None;-2.450635;1.278499;9.110589;0;1;-4;0;3.838368;
0.05583954;0;None;-2.443783;1.201411;9.099475;0;1;-4;0;3.838368;
0.05606842;0;None;-2.446444;1.163303;9.093185;0;1;-4;0;3.838368;
0.05505371;0;None;-2.457129;1.143506;9.089327;0;1;-4;0;3.838368;
0.05548859;0;None;-2.466381;1.125506;9.087825;0;1;-4;0;3.838368;
0.05613708;0;None;-2.401383;1.079135;9.09789;0;1;-4;0;3.838368;
0.0557785;0;None;-2.245673;1.028729;9.112512;0;1;-4;0;3.838368;
0.05561829;0;None;-2.057004;1.011831;9.129073;0;1;-4;0;3.838368;
0.05541229;0;None;-1.850571;1.041066;9.151427;0;1;-4;0;3.838368;
