GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.05970001;0;None;2.230689;1.285192;1.488395;0;1;-4;0;0;
0.05528259;0;None;2.232846;1.266387;1.475111;0;1;-4;0;0;
0.05558014;0;None;2.229609;1.255946;1.450929;0;1;-4;0;0;
0.05514526;0;None;2.227504;1.264389;1.429484;0;1;-4;0;0;
0.05608368;0;None;2.227716;1.270973;1.416573;0;1;-4;0;0;
0.05566406;0;None;2.228047;1.272901;1.414278;0;1;-4;0;0;
0.05548096;0;None;2.229066;1.249285;1.455783;0;1;-4;0;0;
0.05526733;0;None;2.222538;1.149167;1.594416;0;1;-4;0;0;
0.05536652;0;None;2.197679;1.013134;1.920554;0;1;-4;0;0;
0.0558548;0;None;2.180513;0.8985124;2.466791;0;1;-4;0;0;
0.05551147;0;None;2.17763;0.8287725;3.170909;0;1;-4;0;0;
0.05548859;0;None;2.190127;0.7542617;4.028755;0;1;-4;0;0;
0.05531311;0;None;2.19407;0.6498873;5.203728;0;1;-4;0;0;
0.05574036;0;None;2.206652;0.6232367;6.803348;0;1;-4;0;0;
0.05578613;0;Cylinder (5);2.183693;0.7523428;9.055868;0;1;-4;0;3.84241;
0.05561066;0;None;1.605925;0.7176986;9.049091;0;1;-4;0;3.84241;
0.05535126;0;None;1.270466;0.7297046;9.04017;0;1;-4;0;3.84241;
0.05574036;0;None;1.026585;0.7597514;9.044257;0;1;-4;0;3.84241;
0.05588531;0;None;0.6932251;0.7490203;9.048018;0;1;-4;0;3.84241;
0.05569458;0;None;0.3776936;0.6346103;9.043061;0;1;-4;0;3.84241;
0.05578613;0;None;0.1936142;0.4752713;9.034354;0;1;-4;0;3.84241;
0.05528259;0;None;0.06151101;0.2421573;9.022934;0;1;-4;0;3.84241;
0.05604553;0;None;-0.02907054;-0.02612507;9.00615;0;1;-4;0;3.84241;
0.05569458;0;None;-0.03290597;-0.2876544;8.98995;0;1;-4;0;3.84241;
0.05574799;0;Cylinder (10);0.01682268;-0.5316203;8.974252;0;1;-4;0;3.14822;
0.05567932;0;Cylinder (10);0.06649703;-0.7080503;8.963491;0;1;-4;0;3.14822;
0.05537415;0;None;0.08415984;-0.7635649;8.961385;0;1;-4;0;3.14822;
0.05601501;0;None;0.02682275;-0.7561514;8.963025;0;1;-4;0;3.14822;
0.05576324;0;Cylinder (10);-0.04181748;-0.7381734;8.962997;0;1;-4;0;3.14822;
0.05579376;0;Cylinder (10);-0.08849128;-0.7363858;8.962686;0;1;-4;0;3.14822;
0.05532074;0;Cylinder (10);-0.1179686;-0.7803734;8.95827;0;1;-4;0;3.14822;
0.05555725;0;Cylinder (10);-0.1401297;-0.9731736;8.942623;0;1;-4;0;3.14822;
0.05605316;0;None;-0.1835758;-1.414746;8.899213;0;1;-4;0;3.14822;
0.05580139;0;Cylinder (24);-0.7226164;-6.54518;29.02429;0;1;-4;0;4.902548;
0.05600739;0;Cylinder (24);-0.7139154;-8.176627;28.49239;0;1;-4;0;4.902548;
0.0553894;0;Cylinder (24);-0.7310256;-9.489226;27.96886;0;1;-4;0;4.902548;
0.05579376;0;None;-0.7269515;-10.34145;27.58117;0;1;-4;0;4.902548;
0.0560379;0;Cylinder (24);-1.083508;-10.43526;27.5216;0;1;-4;0;4.902548;
0.05558014;0;Cylinder (24);-1.856892;-9.917203;27.71443;0;1;-4;0;4.902548;
0.05557251;0;None;-3.276091;-9.093244;27.91271;0;1;-4;0;4.902548;
0.05563354;0;None;-5.200912;-8.055443;27.96043;0;1;-4;0;4.902548;
0.05578613;0;None;-7.130069;-7.118927;27.76178;0;1;-4;0;4.902548;
0.05579376;0;Cylinder (20);-8.476688;-6.24371;27.56545;0;1;-4;0;4.772184;
0.05573273;0;Cylinder (20);-9.027098;-5.930883;27.4386;0;1;-4;0;4.772184;
0.05545807;0;Cylinder (20);-9.143222;-5.810018;27.42443;0;1;-4;0;4.772184;
0.05545044;0;Cylinder (20);-9.06131;-5.583041;27.51888;0;1;-4;0;4.772184;
0.05580139;0;None;-8.494609;-5.198769;27.83776;0;1;-4;0;4.772184;
0.05592346;0;None;-7.822546;-4.559206;28.2233;0;1;-4;0;4.772184;
0.05580902;0;None;-7.281393;-3.961786;28.51741;0;1;-4;0;4.772184;
0.05534363;0;None;-6.662124;-3.459079;28.78759;0;1;-4;0;4.772184;
0.05612946;0;None;-5.946734;-3.079092;29.03509;0;1;-4;0;4.772184;
0.05563354;0;None;-5.34132;-2.903734;29.20214;0;1;-4;0;4.772184;
0.05557251;0;None;-4.966921;-2.718386;29.30618;0;1;-4;0;4.772184;
0.05556488;0;None;-4.92262;-2.56288;29.33395;0;1;-4;0;4.772184;
0.05567932;0;None;-4.864067;-2.369299;29.36765;0;1;-4;0;4.772184;
0.05599976;0;None;-4.732246;-2.304321;29.40071;0;1;-4;0;4.772184;
0.05574036;0;Cylinder (8);-4.968843;-2.056178;29.37831;0;1;-4;0;1.303584;
0.05578613;0;Cylinder (8);-5.398608;-1.776025;29.3113;0;1;-4;0;1.303584;
0.055336;0;None;-5.575175;-1.526011;29.29111;0;1;-4;0;1.303584;
0.05560303;0;None;-5.530362;-1.336898;29.315;0;1;-4;0;1.303584;
0.05622864;0;Cylinder (8);-5.350666;-1.284959;29.35916;0;1;-4;0;1.303584;
0.05570221;0;Cylinder (8);-5.202909;-1.275122;29.39226;0;1;-4;0;1.303584;
0.05562592;0;Cylinder (8);-5.164113;-1.313835;29.39821;0;1;-4;0;1.303584;
0.05508423;0;Cylinder (8);-5.456704;-1.183775;29.34217;0;1;-4;0;1.303584;
0.05570984;0;None;-6.119857;-0.9314718;29.19648;0;1;-4;0;1.303584;
0.0558548;0;None;-6.713309;-0.7368115;29.04612;0;1;-4;0;1.303584;
0.05566406;0;None;-7.109084;-0.4859224;28.94032;0;1;-4;0;1.303584;
0.05553436;0;None;-7.412429;-0.2363885;28.8539;0;1;-4;0;1.303584;
0.05567932;0;Cylinder (22);-7.614308;0.05531003;28.79405;0;1;-4;0;2.006217;
0.05581665;0;Cylinder (22);-7.803773;0.3416441;28.73283;0;1;-4;0;2.006217;
0.05581665;0;Cylinder (22);-7.955131;0.5955218;28.67984;0;1;-4;0;2.006217;
0.05555725;0;Cylinder (22);-8.027666;0.8709094;28.64958;0;1;-4;0;2.006217;
0.05545807;0;Cylinder (22);-8.004705;1.023329;28.65298;0;1;-4;0;2.006217;
0.05612183;0;Cylinder (22);-7.667712;1.044368;28.76482;0;1;-4;0;2.006217;
0.0555191;0;None;-6.865829;0.824326;29.01755;0;1;-4;0;2.006217;
0.05570221;0;None;-5.560623;0.4274765;29.36218;0;1;-4;0;2.006217;
0.05574036;0;None;-3.862463;-0.1353612;29.68859;0;1;-4;0;2.006217;
0.05544281;0;None;-2.621856;-0.6927688;29.83665;0;1;-4;0;2.006217;
0.05601501;0;None;-2.15452;-1.208925;29.8561;0;1;-4;0;2.006217;
0.05562592;0;Cylinder (20);-2.189956;-1.625775;29.82424;0;1;-4;0;4.948013;
0.05574036;0;Cylinder (20);-2.492699;-2.017975;29.76188;0;1;-4;0;4.948013;
0.05541992;0;Cylinder (20);-2.929665;-2.417324;29.67277;0;1;-4;0;4.948013;
0.0555191;0;Cylinder (20);-3.471194;-2.937244;29.53849;0;1;-4;0;4.948013;
0.0565033;0;None;-3.971231;-3.230822;29.4208;0;1;-4;0;4.948013;
0.05567932;0;None;-4.343;-3.449803;29.32372;0;1;-4;0;4.948013;
0.05575562;0;None;-4.560259;-3.470258;29.28024;0;1;-4;0;4.948013;
0.05556488;0;Cylinder (20);-4.455389;-3.432362;29.30579;0;1;-4;0;4.948013;
0.05550385;0;Cylinder (20);-3.887231;-3.208764;29.43742;0;1;-4;0;4.948013;
0.05608368;0;Cylinder (20);-2.939667;-2.979098;29.60249;0;1;-4;0;4.948013;
0.05566406;0;None;-1.829872;-2.75297;29.73963;0;1;-4;0;4.948013;
0.05584717;0;None;-0.8491324;-2.512979;29.82118;0;1;-4;0;4.948013;
0.05521393;0;None;-0.1195007;-2.382926;29.8495;0;1;-4;0;4.948013;
