GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.05918121;0;None;1.598885;2.418982;8.0699;0;1;-4;0;0;
0.05490875;0;None;1.145671;2.428113;7.651765;0;1;-4;0;0;
0.05493164;0;None;0.8479241;2.420562;7.275706;0;1;-4;0;0;
0.05541229;0;None;0.7947199;2.405124;7.051517;0;1;-4;0;0;
0.05592346;0;None;0.9073586;2.392417;7.056179;0;1;-4;0;0;
0.05567932;0;None;1.039476;2.39523;7.112408;0;1;-4;0;0;
0.05561066;0;None;1.128381;2.393526;7.182137;0;1;-4;0;0;
0.05535889;0;None;1.175117;2.399651;7.221315;0;1;-4;0;0;
0.05602264;0;None;1.207499;2.392041;7.273194;0;1;-4;0;0;
0.05562592;0;None;1.245911;2.385011;7.434921;0;1;-4;0;0;
0.05570221;0;None;1.268967;2.375477;7.689327;0;1;-4;0;0;
0.05537415;0;None;1.297529;2.362716;8.058462;0;1;-4;0;0;
0.05571747;0;None;1.336141;2.361941;8.528481;0;1;-4;0;0;
0.05602264;0;None;1.391697;2.340195;9.217028;0;1;-4;0;0;
0.05575562;0;None;1.372463;2.092544;9.505763;0;1;-4;0;0;
0.05565643;0;None;1.300338;1.831461;9.448488;0;1;-4;0;0;
0.05548859;0;None;1.243879;1.77377;9.434144;0;1;-4;0;0;
0.05584717;0;None;1.210516;1.822876;9.429866;0;1;-4;0;0;
0.05568695;0;None;1.19813;1.883552;9.436604;0;1;-4;0;0;
0.0557785;0;None;1.19196;1.952699;9.444242;0;1;-4;0;0;
0.05571747;0;None;1.14614;2.007767;9.454049;0;1;-4;0;0;
0.05541229;0;Cylinder (13);1.052937;2.052764;9.455999;0;1;-4;0;3.847389;
0.05607605;0;Cylinder (13);0.9474551;2.092511;9.466625;0;1;-4;0;3.847389;
0.05562592;0;Cylinder (13);0.8381784;2.088042;9.464193;0;1;-4;0;3.847389;
0.05580902;0;None;0.7671084;2.1147;9.46265;0;1;-4;0;3.847389;
0.05524445;0;None;0.7015115;2.110364;9.464918;0;1;-4;0;3.847389;
0.05567932;0;None;0.621296;2.067183;9.462332;0;1;-4;0;3.847389;
0.05599976;0;None;0.4940472;2.000919;9.450427;0;1;-4;0;3.847389;
0.05574036;0;None;0.3565807;1.956401;9.435705;0;1;-4;0;3.847389;
0.0555954;0;None;0.240452;1.90712;9.427565;0;1;-4;0;3.847389;
0.05539703;0;None;0.1550332;1.891158;9.422085;0;1;-4;0;3.847389;
0.05599976;0;None;0.09267674;1.826166;9.417912;0;1;-4;0;3.847389;
0.05560303;0;None;0.07302336;1.753461;9.402466;0;1;-4;0;3.847389;
0.0559082;0;None;0.04911762;1.665368;9.401547;0;1;-4;0;3.847389;
0.05548096;0;None;0.06598879;1.652948;9.380274;0;1;-4;0;3.847389;
0.05549622;0;None;0.1205391;1.65654;9.383162;0;1;-4;0;3.847389;
0.05594635;0;None;0.1950117;1.679185;9.38808;0;1;-4;0;3.847389;
0.05583954;0;None;0.2647576;1.682405;9.392794;0;1;-4;0;3.847389;
0.05567169;0;None;0.3063888;1.669185;9.393672;0;1;-4;0;3.847389;
0.05553436;0;None;0.3116361;1.620724;9.390741;0;1;-4;0;3.847389;
0.05570984;0;None;0.3101813;1.545511;9.380568;0;1;-4;0;3.847389;
0.05596161;0;None;0.3024263;1.490364;9.3703;0;1;-4;0;3.847389;
0.05570984;0;None;0.2920126;1.482992;9.365836;0;1;-4;0;3.847389;
0.0556488;0;None;0.2739932;1.49832;9.366384;0;1;-4;0;3.847389;
0.05548859;0;None;0.2474893;1.502655;9.365958;0;1;-4;0;3.847389;
0.05601501;0;None;0.2204033;1.522268;9.367498;0;1;-4;0;3.847389;
0.05566406;0;None;0.1702202;1.543011;9.370345;0;1;-4;0;3.847389;
0.05558777;0;None;0.08800089;1.564791;9.368567;0;1;-4;0;3.847389;
0.0557251;0;None;-0.009401167;1.558407;9.365495;0;1;-4;0;3.847389;
0.05544281;0;None;-0.06210829;1.573386;9.367072;0;1;-4;0;3.847389;
0.05597687;0;None;-0.0515816;1.573727;9.367387;0;1;-4;0;3.847389;
0.05577087;0;None;0.02215252;1.602556;9.368664;0;1;-4;0;3.847389;
0.0555954;0;None;0.08816652;1.612872;9.373336;0;1;-4;0;3.847389;
0.05540466;0;None;0.1260267;1.610849;9.376808;0;1;-4;0;3.847389;
0.05567169;0;None;0.1166446;1.591853;9.377258;0;1;-4;0;3.847389;
0.05606842;0;None;0.02488557;1.540863;9.370728;0;1;-4;0;3.847389;
0.05567932;0;None;-0.09330789;1.430844;9.357198;0;1;-4;0;3.847389;
0.05562592;0;None;-0.1658383;1.210205;9.329589;0;1;-4;0;3.847389;
