GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0;0;None;4.949055;-4.453948;6.39091;0;2;0;0;0;
0.507452;0;None;3.528126;-3.70977;7.535976;0;2;0;0;0;
0.01421738;0;None;3.387201;-3.676908;7.60987;0;2;0;0;0;
0.01366806;0;None;3.246892;-3.648735;7.67897;0;2;0;0;0;
0.01403046;0;None;3.10115;-3.618441;7.747273;0;2;0;0;0;
0.01389122;0;None;2.948184;-3.581575;7.816202;0;2;0;0;0;
0.01372147;0;None;2.789147;-3.543122;7.883681;0;2;0;0;0;
0.01399994;0;None;2.630553;-3.50352;7.94721;0;2;0;0;0;
0.01385117;0;None;2.484804;-3.469822;8.001288;0;2;0;0;0;
0.01374435;0;None;2.352061;-3.444329;8.046329;0;2;0;0;0;
0.02770996;0;None;2.131409;-3.411948;8.113681;0;2;0;0;0;
0.02780914;0;None;1.961343;-3.417296;8.155005;0;2;0;0;0;
0.02799416;0;None;1.816819;-3.424756;8.18586;0;2;0;0;0;
0.02775764;0;None;1.654009;-3.399639;8.224531;0;2;0;0;0;
0.02778625;0;None;1.482824;-3.372163;8.261708;0;2;0;0;0;
0.02801323;0;None;1.34187;-3.364065;8.286537;0;2;0;0;0;
0.04175377;0;None;1.152666;-3.369411;8.312479;0;2;0;0;0;
0.0417614;0;None;0.9891472;-3.310735;8.343851;0;2;0;0;0;
0.05553436;0;None;0.8307937;-3.236337;8.374332;0;2;0;0;0;
0.06963921;0;None;0.7185619;-3.117224;8.406077;0;2;0;0;0;
0.04153442;0;None;0.6316323;-2.994542;8.432907;0;2;0;0;0;
0.05604553;0;None;0.4885703;-2.875733;8.459781;0;2;0;0;0;
0.04153633;0;None;0.3533097;-2.721298;8.486155;0;2;0;0;0;
0.02815819;0;None;0.2569202;-2.563308;8.506767;0;2;0;0;0;
0.02774811;0;None;0.1784311;-2.345637;8.52785;0;2;0;0;0;
0.02786064;0;None;0.1152407;-2.123001;8.542862;0;2;0;0;0;
0.02788925;0;None;0.06281474;-1.969123;8.549873;0;2;0;0;0;
0.0556488;0;None;0.03107065;-1.823231;8.554924;0;2;0;0;0;
0.0555687;0;None;0.0980784;-1.681759;8.557542;0;2;0;0;0;
0.08383751;0;None;0.2039204;-1.565711;8.558226;0;2;0;0;0;
0.1114597;0;None;0.1037956;-1.438671;8.558199;0;2;0;0;0;
0.08320618;0;None;0.04762191;-1.27538;8.552855;0;2;0;0;0;
0.05589485;0;None;0.03059717;-1.061311;8.54004;0;2;0;0;0;
0.04166412;0;None;0.01897024;-0.8961794;8.526639;0;2;0;0;0;
0.04164886;0;Sphere;0.01804171;-0.7369667;8.510855;0;2;0;0;0;
0.1117401;0;Sphere;0.07281595;-0.5763347;8.494492;0;2;0;0;0;
0.04173851;0;Sphere;0.1037252;-0.4301347;8.474087;0;2;0;0;0;
0.06942558;0;Sphere;0.135148;-0.2772698;8.450927;0;2;0;0;0;
0.5432911;0;Sphere;0.05661291;-0.4058163;8.476517;0;2;0;0;0;
0.5430031;0;Sphere;0.06720713;-0.5586636;8.499743;0;2;0;0;0;
0.1528835;0;None;-0.07740434;-0.6157768;8.505603;0;2;0;0;0;
0.5709114;0;None;-0.1976973;-0.7194737;8.511743;0;2;0;0;0;
0.06941986;0;None;-0.3953433;-0.6822675;8.496928;0;2;0;0;0;
0.04172707;0;None;-0.5683982;-0.677979;8.483629;0;2;0;0;0;
0.02808571;0;None;-0.7393849;-0.6874382;8.468607;0;2;0;0;0;
0.02754974;0;None;-0.9891851;-0.6732622;8.436655;0;2;0;0;0;
0.01431847;0;Sphere;-1.139831;-0.6515627;8.411885;0;2;0;0;0;
0.01416016;0;Sphere;-1.309449;-0.6281132;8.380669;0;2;0;0;0;
0.01361656;0;Sphere;-1.497219;-0.6071076;8.342388;0;2;0;0;0;
0.01396179;0;Sphere;-1.689555;-0.5928519;8.299393;0;2;0;0;0;
0.01391029;0;None;-1.874362;-0.5879068;8.254718;0;2;0;0;0;
0.01374435;0;None;-2.042536;-0.5911659;8.211153;0;2;0;0;0;
0.01400757;0;None;-2.183091;-0.6055573;8.173388;0;2;0;0;0;
0.02770424;0;None;-2.386532;-0.6612304;8.118493;0;2;0;0;0;
0.02793884;0;None;-2.494151;-0.7624901;8.095849;0;2;0;0;0;
0.0557251;0;None;-2.480187;-0.9128374;8.116432;0;2;0;0;0;
0.05548477;0;None;-2.31287;-0.8632762;8.16407;0;2;0;0;0;
0.0279808;0;None;-2.174984;-0.8254487;8.201107;0;2;0;0;0;
0.02769661;0;None;-1.970025;-0.7944564;8.254166;0;2;0;0;0;
0.02799797;0;Sphere;-1.753402;-0.7680315;8.304869;0;2;0;0;0;
0.02777672;0;Sphere;-1.572196;-0.7237401;8.339887;0;2;0;0;0;
0.04177475;0;Sphere;-1.430772;-0.6440997;8.358384;0;2;0;0;0;
0.08341408;0;Sphere;-1.58109;-0.597385;8.322195;0;2;0;0;0;
