GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.1036072;0;None;-0.177204;-1.769378;7.382596;0;2;0;0;0;
0.1115875;0;None;-0.1776046;-1.774533;7.382341;0;2;0;0;0;
0.1113434;0;None;-0.3734915;-1.595626;7.384563;0;2;0;0;0;
0.1114044;0;None;-0.7963195;-1.155753;7.359676;0;2;0;0;0;
0.1111755;0;None;-1.628741;-0.9100771;7.242234;0;2;0;0;0;
0.1115875;0;None;-2.437637;-0.8529434;7.050302;0;2;0;0;0;
0.1116791;0;Milk;-2.680853;-0.7554077;6.969107;0;2;0;0;0;
0.1118469;0;Milk;-2.779351;-0.5575338;6.917304;0;2;0;0;0;
0.1113434;0;Milk;-2.810906;-0.3925033;6.88665;0;2;0;0;0;
0.111496;0;Milk;-2.391799;0.4300082;6.862258;0;2;0;0;0;
0.1113281;0;None;-1.893332;1.72998;6.558091;0;2;0;0;0;
0.1111755;0;None;-1.269349;2.24828;6.438731;0;2;0;0;0;
0.1115875;0;None;-0.3901111;2.394601;6.445308;0;2;0;0;0;
0.1112823;0;Donuts;-0.02023006;2.568139;6.353104;0;2;0;0;0;
0.111557;0;Donuts;-0.001713093;2.680361;6.289876;0;2;0;0;0;
0.1114807;0;Donuts;-0.01800936;2.743696;6.253319;0;2;0;0;0;
0.1114349;0;Donuts;0.0002670474;2.71019;6.271983;0;2;0;0;0;
0.1113739;0;Donuts;0.7040915;2.319057;6.437888;0;2;0;0;0;
0.1112671;0;Waffle;1.553567;1.794863;6.538505;0;2;0;0;0;
0.1117096;0;Waffle;1.627258;1.585303;6.608401;0;2;0;0;0;
0.1110077;0;Waffle;1.490587;1.591622;6.636454;0;2;0;0;0;
0.1117554;0;Waffle;1.421986;1.519646;6.680007;0;2;0;0;0;
0.1113281;0;None;1.418553;1.522813;6.678685;0;2;0;0;0;
0.1114197;0;Waffle;1.411677;1.597631;6.649759;0;2;0;0;0;
0.1114197;0;Waffle;1.345726;1.780822;6.58661;0;2;0;0;0;
0.1112061;0;Waffle;1.281352;1.838861;6.574825;0;2;0;0;0;
0.1114807;0;Waffle;1.16592;1.799485;6.614361;0;2;0;0;0;
0.1113129;0;Waffle;0.6103027;1.650824;6.756488;0;2;0;0;0;
0.1115723;0;None;-0.251216;1.376856;6.903316;0;2;0;0;0;
0.1113739;0;None;-0.7409706;1.337328;6.896716;0;2;0;0;0;
0.1114502;0;None;-1.229789;1.218625;6.886935;0;2;0;0;0;
0.1113739;0;None;-1.69481;0.6061338;6.997758;0;2;0;0;0;
0.1111755;0;Donuts;-1.807118;0.3058752;7.046837;0;2;0;0;0;
0.1115112;0;Donuts;-1.748204;0.2304897;7.074285;0;2;0;0;0;
0.1113892;0;Donuts;-1.785076;0.1871295;7.075045;0;2;0;0;0;
0.1114044;0;Donuts;-1.898869;0.06279275;7.074673;0;2;0;0;0;
0.111496;0;HamEgg;-2.277523;-0.270495;7.038697;0;2;0;0;0;
0.1112671;0;Cake;-2.670536;-0.5310464;6.956295;0;2;0;0;0;
0.1113586;0;Cake;-2.851653;-0.5797169;6.899802;0;2;0;0;0;
0.1111298;0;Cake;-2.928432;-0.5867099;6.872749;0;2;0;0;0;
0.1115417;0;Cake;-2.912929;-0.6196821;6.881339;0;2;0;0;0;
0.1112366;0;Waffle;-2.865491;-0.8179022;6.916837;0;2;0;0;0;
0.1115265;0;Waffle;-2.72434;-1.1687;6.98646;0;2;0;0;0;
