GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0;0;None;6.119004;-4.738599;4.538893;0;2;0;0;0;
0.9116573;0;None;2.898216;-4.275864;7.234715;0;2;0;0;0;
0.01430511;0;None;2.710105;-4.144078;7.351483;0;2;0;0;0;
0.01377869;0;None;2.532747;-4.018064;7.453975;0;2;0;0;0;
0.01390648;0;None;2.36681;-3.890752;7.545611;0;2;0;0;0;
0.0135994;0;None;2.203801;-3.766948;7.628678;0;2;0;0;0;
0.01415443;0;None;2.036927;-3.636953;7.708006;0;2;0;0;0;
0.01383591;0;None;1.864279;-3.501009;7.783574;0;2;0;0;0;
0.0136261;0;None;1.713481;-3.406431;7.839126;0;2;0;0;0;
0.01422119;0;None;1.599312;-3.316335;7.882071;0;2;0;0;0;
0.0272541;0;None;1.414207;-3.161792;7.947088;0;2;0;0;0;
0.02811241;0;None;1.280767;-2.991673;7.998453;0;2;0;0;0;
0.02772141;0;None;1.226499;-2.832126;8.030442;0;2;0;0;0;
0.04159546;0;None;1.209124;-2.630454;8.058068;0;2;0;0;0;
0.04169846;0;None;1.1815;-2.427964;8.082092;0;2;0;0;0;
0.05588913;0;None;1.193205;-2.238579;8.094293;0;2;0;0;0;
0.06964302;0;None;1.059034;-2.131385;8.119579;0;2;0;0;0;
0.08359909;0;None;0.8915132;-2.143167;8.140656;0;2;0;0;0;
0.0834198;0;None;0.8358297;-2.307598;8.137688;0;2;0;0;0;
0.1251888;0;None;0.9288308;-2.159899;8.137243;0;2;0;0;0;
0.06971931;0;None;0.8909858;-1.944039;8.151192;0;2;0;0;0;
0.04186058;0;None;0.7768066;-1.699784;8.16701;0;2;0;0;0;
0.02783966;0;None;0.6540198;-1.399291;8.172253;0;2;0;0;0;
0.01403427;0;None;0.5833809;-1.238148;8.170493;0;2;0;0;0;
0.01387787;0;None;0.5200779;-1.065151;8.163619;0;2;0;0;0;
0.01376152;0;None;0.4645985;-0.8936185;8.152456;0;2;0;0;0;
0.01402283;0;None;0.4153063;-0.7191983;8.136691;0;2;0;0;0;
0.01400375;0;None;0.3766966;-0.5590297;8.118506;0;2;0;0;0;
0.02763367;0;None;0.3334777;-0.249338;8.072729;0;2;0;0;0;
0.02780724;0;None;0.2987705;0.04774868;8.017081;0;2;0;0;0;
0.02800369;0;None;0.3410102;0.3191097;7.953083;0;2;0;0;0;
0.02766037;0;None;0.3662593;0.5895516;7.879734;0;2;0;0;0;
0.02807045;0;None;0.4081859;0.8452229;7.800043;0;2;0;0;0;
0.02793884;0;Sphere;0.4517567;1.059186;7.725713;0;2;0;0;0;
0.02752113;0;Sphere;0.479249;1.211379;7.669435;0;2;0;0;0;
0.04189491;0;Sphere;0.4682019;1.353413;7.616975;0;2;0;0;0;
0.1117153;0;Sphere;0.2762013;1.315383;7.647154;0;2;0;0;0;
0.04199791;0;Sphere;0.1930108;1.180934;7.702532;0;2;0;0;0;
0.05543137;0;Sphere;0.1320603;1.043957;7.754055;0;2;0;0;0;
0.05569649;0;Sphere;0.1419707;0.887357;7.807938;0;2;0;0;0;
0.0556469;0;Sphere;0.1366203;0.7204486;7.861782;0;2;0;0;0;
0.09734344;0;None;0.1280674;0.562872;7.908676;0;2;0;0;0;
0.09741402;0;None;0.03539972;0.4184382;7.949569;0;2;0;0;0;
0.06977272;0;None;0.01904102;0.2599379;7.989376;0;2;0;0;0;
0.08360672;0;None;-0.06034315;0.1235278;8.019154;0;2;0;0;0;
0.1251183;0;None;-0.177192;0.2459633;7.984715;0;2;0;0;0;
0.08353996;0;None;-0.1453971;0.4002559;7.943997;0;2;0;0;0;
0.1254997;0;None;-0.02916516;0.5242412;7.908852;0;2;0;0;0;
0.04174805;0;None;0.08283636;0.6382343;7.87403;0;2;0;0;0;
0.04177856;0;None;0.2388306;0.7033615;7.850273;0;2;0;0;0;
0.05580521;0;None;0.4002118;0.7328649;7.833991;0;2;0;0;0;
0.1529789;0;None;0.4882526;0.6050137;7.865946;0;2;0;0;0;
0.08362389;0;Sphere;0.5245442;0.4097883;7.917611;0;2;0;0;0;
0.05565262;0;Sphere;0.5758107;0.2461702;7.955536;0;2;0;0;0;
0.04163551;0;Sphere;0.606335;0.08863911;7.990508;0;2;0;0;0;
0.08361435;0;Sphere;0.5616405;-0.09886056;8.033275;0;2;0;0;0;
0.08377457;0;Sphere;0.6067755;-0.272921;8.06239;0;2;0;0;0;
0.04165268;0;Sphere;0.7670308;-0.3452419;8.060545;0;2;0;0;0;
0.02780533;0;None;0.9241251;-0.386111;8.050107;0;2;0;0;0;
0.02788734;0;None;1.081554;-0.4085733;8.033131;0;2;0;0;0;
0.02780914;0;None;1.247117;-0.402648;8.006864;0;2;0;0;0;
