GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.04179573;1;Size(Max);0.7273383;-0.9996861;29.11901;-20;2.760689;-12.30371;0;0;
0.02792931;1;None;2.177998;-0.7213316;29.02191;-20;2.758057;-12.16409;0;0;
0.02753448;1;None;3.874052;-0.3344086;28.93441;-20;2.755462;-12.02644;0;0;
0.02812958;1;None;5.435608;0.1014381;28.8728;-20;2.752812;-11.88582;0;0;
0.02763748;1;None;6.892923;0.5669929;28.81723;-20;2.750207;-11.74766;0;0;
0.02770138;1;None;8.238671;1.039721;28.77338;-20;2.747597;-11.60918;0;0;
0.02808762;1;None;9.377166;1.621179;28.74523;-20;2.744951;-11.46876;0;0;
0.04177952;1;None;10.49507;2.355816;28.70179;-20;2.741014;-11.2599;0;0;
0.05537796;1;None;10.96224;3.311964;28.57081;-20;2.735796;-10.98306;0;0;
0.08381081;1;None;10.16683;4.118397;28.24513;-20;2.727899;-10.56409;0;0;
0.08376408;1;None;8.949421;4.665608;27.80771;-20;2.720006;-10.14534;0;0;
0.180831;1;None;7.906117;5.189174;27.01068;-20;2.702966;-9.241352;0;0;
0.1530457;1;None;6.964224;4.662488;26.42613;-20;2.688545;-8.47626;0;0;
0.09762192;1;Size(Low);5.841053;4.232575;25.95817;-20;2.679346;-7.98824;0;0;
0.3344231;1;Size(Low);4.671653;4.260272;24.69126;-20;2.647834;-6.316428;0;0;
0.05559063;1;None;2.46396;4.018355;24.45309;-20;2.642596;-6.038525;0;0;
0.0278883;1;None;0.3247385;3.862172;24.2057;-20;2.639968;-5.899109;0;0;
0.02799892;1;None;-2.212636;3.764254;23.90604;-20;2.63733;-5.75914;0;0;
0.0277195;1;None;-5.159584;3.751138;23.60618;-20;2.634718;-5.620568;0;0;
0.01460361;1;None;-6.723618;3.764468;23.47083;-20;2.633342;-5.547563;0;0;
0.01340199;1;Size(Min);-8.088142;3.671743;22.76182;-20;2.632079;-5.480565;0;0;
0.01405239;1;None;-7.801968;2.980659;18.39875;-20;2.630755;-5.410316;0;0;
0.01410103;1;None;-7.588931;2.50973;15.49071;-20;2.629426;-5.339822;0;0;
0.02727509;1;None;-7.295399;1.985192;12.10152;-20;2.626856;-5.203469;0;0;
0.01453018;1;None;-7.207734;1.84667;11.12848;-20;2.625487;-5.130834;0;0;
0.1667156;1;None;-6.782907;2.064916;10.2439;-20;2.609778;-4.297405;0;0;
0.06988811;1;None;-6.721052;2.353303;11.32761;-20;2.603192;-3.948026;0;0;
0.08366299;1;None;-6.699327;2.711995;12.65193;-20;2.595309;-3.529786;0;0;
0.2503338;1;None;-6.760615;3.072584;13.48621;-20;2.57172;-2.27834;0;0;
0.2924261;1;Size(Min);-6.738047;3.14508;13.7811;-20;2.544166;-0.8164693;0;0;
0.06992817;1;Size(Min);-6.391447;3.114611;15.11411;-20;2.537576;-0.4668907;0;0;
0.04170799;1;None;-9.75015;5.291986;30.72263;-20;2.533647;-0.2583874;0;0;
0.02794266;1;None;-5.085553;2.847221;20.46229;-20;2.531013;-0.1187005;0;0;
0.02749062;1;None;-3.769572;1.983408;20.24252;-20;2.528423;0.01873056;0;0;
0.02804852;1;None;-2.790695;0.9951696;20.0196;-20;2.52578;0.1589476;0;0;
0.04161453;1;Size(Max);-1.805468;-0.5003737;19.71258;-20;2.521859;0.3669815;0;0;
0.0559864;1;Size(Max);-2.233828;-3.142701;32.76147;-20;2.516584;0.6468646;0;0;
0.06943512;1;Size(Max);-1.046371;-3.180873;19.08298;-20;2.510041;0.9939773;0;0;
0.9468584;1;Size(Max);-0.647889;-3.033918;15.87433;-20;2.420815;5.727433;0;0;
0.1116848;2;Transparency(Max);9.351232;4.243182;-34.99274;-0.3732434;2.984348;12.33003;0;0;
0.3337193;2;None;8.787807;3.643169;-33.86999;-0.3539811;2.985157;10.66154;0;0;
0.05598831;2;None;7.154554;2.815078;-33.1671;-0.3507495;2.985292;10.38162;0;0;
0.04175568;2;None;5.828928;1.70999;-32.55206;-0.3483393;2.985394;10.17286;0;0;
0.02795029;2;None;5.030289;0.7485158;-32.10923;-0.3467261;2.985461;10.03312;0;0;
0.02753067;2;None;4.430794;-0.3032093;-31.68051;-0.345137;2.985528;9.895473;0;0;
0.02779388;2;None;3.964863;-1.246069;-31.2929;-0.3435327;2.985595;9.756514;0;0;
0.05578804;2;Transparency(Mid);3.386683;-2.198977;-30.69996;-0.3403127;2.98573;9.4776;0;0;
0.06990242;2;Transparency(Mid);4.046505;-3.981678;-38.16624;-0.336278;2.9859;9.12811;0;0;
0.5146809;2;Transparency(Mid);2.648074;-2.286128;-27.29889;-0.3065709;2.987147;6.554885;0;0;
0.04177475;2;None;0.9360209;-1.648333;-26.81724;-0.3041595;2.987249;6.346021;0;0;
0.02808189;2;None;-0.707099;-1.172593;-26.37338;-0.3025388;2.987317;6.205627;0;0;
0.02754974;2;None;-2.207062;-0.8252639;-25.96114;-0.3009485;2.987384;6.067882;0;0;
0.05605888;2;None;-3.8883;-0.3995716;-25.47183;-0.2977129;2.98752;5.787614;0;0;
0.1392155;2;None;-2.42494;0.01605426;-25.16361;-0.2896773;2.987857;5.091581;0;0;
0.1670284;2;Transparency(Low);-0.9601995;0.5050609;-24.65361;-0.2800365;2.988261;4.256491;0;0;
0.361887;2;Transparency(Low);-0.1822938;1.644784;-23.26107;-0.2591484;2.989137;2.447178;0;0;
0.042099;2;None;0.7566367;3.090341;-23.33556;-0.2567184;2.989239;2.236697;0;0;
0.02762794;2;None;1.673398;4.194485;-23.48381;-0.2551237;2.989305;2.098569;0;0;
0.04170036;2;None;3.197636;5.5829;-23.70909;-0.2527168;2.989406;1.890086;0;0;
0.04178238;2;None;4.487221;6.644871;-23.88102;-0.2503051;2.989508;1.681182;0;0;
0.06995583;2;Transparency(Min);5.988303;7.825347;-23.98211;-0.2462673;2.989677;1.331432;0;0;
0.5429039;2;Transparency(Min);5.004544;8.318931;-21.80433;-0.214931;2.990992;-1.382911;0;0;
0.09743118;2;Transparency(Min);5.524192;6.879229;-21.40034;-0.2093073;2.991228;-1.870032;0;0;
0.04175186;2;None;5.930417;5.444988;-21.14915;-0.2068973;2.991329;-2.078783;0;0;
0.04172325;2;None;6.350882;3.607716;-20.80034;-0.2044891;2.99143;-2.28738;0;0;
0.04169273;2;None;6.679846;1.930086;-20.40387;-0.2020827;2.991531;-2.495828;0;0;
0.05595779;2;Transparency(Max);7.103967;0.1989305;-19.9973;-0.1988527;2.991666;-2.775605;0;0;
0.111042;2;Transparency(Max);7.386436;-1.407292;-19.38319;-0.1924434;2.991935;-3.330777;0;0;
0.4597855;2;Transparency(Max);7.030685;-0.4157642;-17.69268;-0.1659046;2.993048;-5.629553;0;0;
0.08333397;2;Transparency(Max);0.9726369;-1.787387;-23.98568;-0.1610945;2.993249;-6.046201;0;0;
0.2373085;3;Red;-11.59835;-1.195222;48.58493;19.64962;2.999995;-11.28652;0;0;
0.0551796;3;None;-7.564053;-0.8314751;41.34648;19.65271;2.999995;-11.01065;0;0;
0.04164124;3;None;-4.946734;-0.6843946;41.07783;19.65504;2.999995;-10.80246;0;0;
0.02785873;3;None;-3.027186;-0.639118;40.83645;19.6566;2.999995;-10.66318;0;0;
0.04183578;3;None;-0.3940583;-0.6049665;40.43886;19.65894;2.999995;-10.45401;0;0;
0.04207993;3;Black;1.827005;-0.7290246;40.04149;19.6613;2.999995;-10.24362;0;0;
0.05529022;3;Black;4.024951;-0.9249636;39.56565;19.6644;2.999995;-9.967189;0;0;
0.5014763;3;Black;2.249131;-0.6807116;37.18966;19.69249;2.999995;-7.459975;0;0;
0.2506599;3;Black;4.814669;-0.268319;35.65035;19.70653;2.999995;-6.206739;0;0;
0.05596924;3;None;7.409237;-0.3345707;35.03031;19.70967;2.999995;-5.926916;0;0;
0.05537415;3;None;10.1002;-0.5667342;34.38212;19.71276;2.999995;-5.65006;0;0;
0.06999588;3;None;10.03518;-0.6443591;27.24111;19.71668;2.999995;-5.300113;0;0;
0.5428543;3;Blue;9.531192;-0.3819682;18.5391;19.74709;2.999995;-2.586004;0;0;
0.473793;3;Blue;9.2412;-0.3856832;17.56683;19.77363;2.999995;-0.2171981;0;0;
0.640831;3;Blue;8.9303;-0.4535048;14.71151;19.80951;2.999995;2.986762;0;0;
0.7936363;3;Blue;8.053495;-0.4040158;8.660283;19.85395;2.999995;6.954696;0;0;
