GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.3063908;1;Size(Max);7.741739;-0.505505;30.34342;-20;2.747618;-11.61046;0;0;
0.2365732;1;None;6.580187;-0.3139018;28.16265;-20;2.703033;-9.245142;0;0;
0.3899345;1;Size(Max);5.644805;0.000901614;25.02176;-20;2.629545;-5.3465;0;0;
0.3204069;1;Size(Max);5.791035;-0.9909294;22.57964;-20;2.569162;-2.142997;0;0;
0.3065834;1;Size(Max);5.68834;-2.200757;20.18246;-20;2.511383;0.9222885;0;0;
0.4041071;1;Size(Max);5.769551;-2.194268;17.42961;-20;2.435225;4.962646;0;0;
0.1111546;1;Size(Max);1.72982;-2.725665;16.45389;-20;2.414276;6.073996;0;0;
0.04155159;2;Size(Max);-8.905851;-5.265198;-36.1255;-0.312606;2.986866;12.05544;0;0;
0.04154205;2;None;-6.043946;-4.935903;-31.46107;-0.3085551;2.987037;11.64005;0;0;
0.04208183;2;None;-4.343399;-5.190657;-31.20716;-0.3044515;2.987209;11.21925;0;0;
0.04117393;2;Transparency(Min);-2.708829;-5.331452;-30.96351;-0.3004364;2.987378;10.80754;0;0;
0.04185104;2;Transparency(Min);-1.173487;-5.556414;-30.6988;-0.2963552;2.98755;10.38905;0;0;
0.04193497;2;None;0.3414687;-5.45158;-30.48372;-0.2922659;2.987721;9.969713;0;0;
0.04159737;2;None;1.875915;-5.316298;-30.28793;-0.2882095;2.987892;9.553759;0;0;
0.07009506;2;None;3.665208;-5.073411;-29.85691;-0.2813742;2.98818;8.852848;0;0;
0.1394253;2;Transparency(Max);4.884228;-4.445701;-28.64711;-0.267778;2.988752;7.458656;0;0;
0.2226601;2;None;6.186484;-3.832804;-26.63667;-0.2460654;2.989664;5.232178;0;0;
0.4875107;2;None;5.261637;-4.33314;-21.94866;-0.1985256;2.991662;0.3573053;0;0;
0.2506714;2;Transparency(Max);3.935416;-4.240473;-19.71859;-0.1740811;2.992689;-2.149306;0;0;
0.1392651;2;Transparency(Max);1.49712;-4.403889;-18.20343;-0.1605008;2.993259;-3.541873;0;0;
0.2784519;2;None;-14.19353;-17.85392;-42.83045;-0.1333471;2.994401;-6.326278;0;0;
0.1531715;3;Transparency(Mid);-9.560219;-4.034013;22.07728;19.70916;2.999997;-11.78873;0;0;
0.05576324;3;None;-9.428416;-4.604755;24.41113;19.71427;2.999997;-11.23112;0;0;
0.04165268;3;None;-9.266549;-5.35915;27.28777;19.71808;2.999997;-10.81462;0;0;
0.0557518;3;Red;-9.270619;-6.480706;31.42838;19.72318;2.999997;-10.25712;0;0;
0.069664;3;None;-11.91709;-10.28232;47.43898;19.72955;2.999997;-9.560514;0;0;
0.1114445;3;None;-8.050304;-8.702326;37.74336;19.73975;2.999997;-8.446108;0;0;
0.1392422;3;None;-6.280407;-8.818844;36.29166;19.75249;2.999997;-7.053756;0;0;
0.05547905;3;None;-3.571532;-9.128056;35.52282;19.75756;2.999997;-6.498982;0;0;
0.04190063;3;None;-1.654157;-12.90756;47.80642;19.7614;2.999997;-6.079994;0;0;
0.0418148;3;None;1.117739;-9.639239;34.1091;19.76522;2.999997;-5.661862;0;0;
0.0555706;3;Black;3.304806;-9.919722;33.22665;19.77031;2.999997;-5.106184;0;0;
0.2366924;3;None;7.699978;-14.55484;45.54683;19.79197;2.999997;-2.739355;0;0;
0.1949978;3;None;6.52773;-14.87161;45.50829;19.80981;2.999997;-0.7894655;0;0;
0.1810513;3;None;3.183593;-8.939255;26.77083;19.82638;2.999997;1.020977;0;0;
0.1670437;3;Black;1.473888;-8.429931;25.22861;19.84166;2.999997;2.691336;0;0;
0.09734917;3;None;-1.857808;-14.4574;46.20412;19.85057;2.999997;3.664794;0;0;
0.1116428;3;None;-1.891938;-6.192223;23.89011;19.86078;2.999997;4.781168;0;0;
0.08346939;3;None;-1.991845;-4.121509;23.54819;19.86842;2.999997;5.615832;0;0;
