Timestamp;Target;PosX;PosY;PosZ
11-23-33;None;0;0;10
11-23-34;None;1.367024;-2.292261;9.63726
11-23-34;None;1.477662;-2.419213;9.589783
11-23-34;None;1.450282;-2.569277;9.554868
11-23-34;None;1.47504;-2.848953;9.471416
11-23-34;None;1.485754;-2.999715;9.42307
11-23-35;None;1.469229;-2.855264;9.470419
11-23-35;None;1.457449;-2.682165;9.522701
11-23-35;None;1.428466;-2.506311;9.574857
11-23-35;None;1.622685;-2.323076;9.59011
11-23-35;None;1.723163;-2.185793;9.604844
11-23-35;None;1.900908;-2.105763;9.589177
11-23-35;None;2.145437;-2.046643;9.550306
11-23-35;None;2.322481;-1.945387;9.530034
11-23-35;None;2.626283;-1.861178;9.46777
11-23-35;None;2.833148;-1.73586;9.431864
11-23-35;None;3.049009;-1.653205;9.379257
11-23-35;None;3.312795;-1.57279;9.303318
11-23-35;None;3.560616;-1.504972;9.222639
11-23-35;None;3.776968;-1.456368;9.144042
11-23-35;None;3.993392;-1.370684;9.06499
11-23-35;None;4.216594;-1.269082;8.978294
11-23-35;None;4.446964;-1.211094;8.874557
11-23-35;None;4.691218;-1.187321;8.751157
11-23-35;None;4.947706;-1.105621;8.619617
11-23-36;None;5.222161;-1.046623;8.463664
11-23-36;None;5.483674;-0.9882241;8.303778
11-23-36;None;5.757137;-0.9624043;8.119677
11-23-36;None;6.006338;-0.9234203;7.941738
11-23-36;None;6.21151;-0.8800099;7.787344
11-23-36;None;6.38053;-0.8685998;7.650776
11-23-36;None;6.538406;-0.8624893;7.517004
11-23-36;None;6.662592;-0.8618308;7.407234
11-23-36;None;6.788604;-0.8431149;7.294107
11-23-36;None;6.955644;-0.793741;7.140658
11-23-36;None;7.099917;-0.7416621;7.002936
11-23-36;None;7.193279;-0.6584953;6.915427
11-23-36;None;7.302175;-0.6440901;6.80172
11-23-36;None;7.437586;-0.6945039;6.648306
11-23-36;None;7.511434;-0.8056244;6.552048
11-23-36;None;7.608948;-0.7581229;6.444313
11-23-36;None;7.708429;-0.7607396;6.324666
11-23-37;None;7.810946;-0.7788967;6.195356
11-23-37;None;7.90415;-0.7740455;6.076617
11-23-37;None;7.998942;-0.8051927;5.94715
11-23-37;None;8.071623;-0.9059844;5.833361
11-23-37;None;8.136839;-1.025978;5.721819
11-23-37;None;8.183641;-1.15316;5.630118
11-23-37;None;8.25791;-1.261157;5.496947
11-23-37;None;8.34433;-1.324034;5.349681
11-23-37;Haaris;8.434129;-1.361852;5.197195
11-23-37;Haaris;8.520869;-1.404776;5.041964
11-23-37;Haaris;8.611395;-1.393678;4.888921
11-23-37;Haaris;8.685308;-1.386099;4.758587
11-23-38;None;8.776046;-1.334506;4.604357
11-23-38;None;8.872074;-1.277927;4.433193
11-23-38;None;8.95023;-1.225583;4.288511
11-23-38;None;9.042822;-1.151768;4.111059
11-23-38;None;9.107312;-1.088328;3.984017
11-23-38;None;9.177862;-1.010989;3.839891
11-23-38;None;9.247635;-0.9149081;3.693806
11-23-38;None;9.316827;-0.8212063;3.538695
11-23-38;None;9.387099;-0.7061222;3.373983
11-23-38;None;9.45277;-0.6022481;3.206624
11-23-38;None;9.510221;-0.505911;3.049546
11-23-38;None;9.566494;-0.4147412;2.88274
11-23-38;None;9.613739;-0.3378745;2.731644
11-23-38;None;9.660152;-0.2398217;2.573706
11-23-38;None;9.703545;-0.1411117;2.412738
11-23-38;None;9.741362;-0.04975723;2.259069
11-23-38;None;9.776293;0.04191231;2.102938
11-23-38;None;9.805306;0.1169651;1.960178
11-23-38;None;9.843382;0.248418;1.745312
11-23-38;None;9.864007;0.319568;1.612229
11-23-38;None;9.886858;0.4301944;1.437007
11-23-38;None;9.901515;0.5561156;1.284819
11-23-38;None;9.913607;0.6643944;1.130928
11-23-38;None;9.919434;0.807043;0.9764815
11-23-38;Abdul;9.923361;0.9188628;0.8262021
11-23-38;Abdul;9.926041;1.010326;0.6730266
11-23-38;Abdul;9.929245;1.072068;0.5106561
11-23-38;Abdul;9.934971;1.085357;0.3440678
11-23-39;Abdul;9.938785;1.091713;0.1694747
11-23-39;None;9.935723;1.131853;0.01782577
