GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ
0.05362523;1;Size(Max);-3.487361;-7.329566;31.03904;-20;2.746395;-11.54572
0.2645277;1;None;-4.103221;-10.77062;35.50024;-20;2.696542;-8.900913
0.0615418;1;None;2.167441;-7.375185;27.04963;-20;2.684944;-8.285604
0.02659285;1;None;9.128773;-8.143296;34.19666;-20;2.679932;-8.019724
0.02267587;1;None;6.62502;-7.468142;27.08693;-20;2.675659;-7.793005
0.0255574;1;None;6.49129;-10.24859;34.3253;-20;2.670843;-7.537477
0.04690838;1;None;6.104702;-11.89533;34.01224;-20;2.662003;-7.068478
0.1850727;1;None;6.425509;-10.86728;33.68534;-20;2.627124;-5.218081
0.0907706;1;None;3.324967;-7.700183;23.84342;-20;2.610017;-4.310536
0.05176282;1;None;3.204662;-6.800302;23.38232;-20;2.600262;-3.793
0.05646467;1;Size(Min);3.12794;-5.776253;23.04462;-20;2.589621;-3.228452
0.3313804;1;None;9.636023;-8.285449;32.58459;-20;2.527168;0.08476218
0.03277445;1;None;7.783707;-4.460669;20.18858;-20;2.520992;0.412448
0.02886844;1;None;15.26542;-5.714271;31.03172;-20;2.515551;0.7010817
0.02378869;1;Size(Mid);12.00453;-2.981428;19.87535;-20;2.511068;0.9389265
0.08040094;1;Size(Mid);15.01478;-2.023662;20.26042;-20;2.495915;1.742794
0.02969885;1;Size(Mid);23.71806;-1.591271;26.50348;-20;2.490318;2.039729
0.04545045;1;None;26.35035;-0.2243839;24.40061;-20;2.481752;2.494152
0.1522055;1;None;21.57771;-1.275108;18.65121;-20;2.453068;4.015937
0.05039287;1;Size(Mid);19.97063;-2.33333;19.76873;-20;2.44357;4.519777
0.05739856;1;Size(Mid);16.2031;-2.876143;19.01155;-20;2.432753;5.093659
0.06203079;1;None;12.53988;-3.640045;18.34689;-20;2.421063;5.713859
0.05419755;1;None;8.446278;-4.655764;17.4813;-20;2.410849;6.255739
0.08456755;1;None;8.870887;-11.40511;31.62491;-20;2.394911;7.101265
0.02821589;2;Size(Max);-5.463434;-1.825171;-33.81026;-0.2735432;2.988468;12.22329
0.2172284;2;None;-3.928434;-1.758781;-33.75282;-0.2551034;2.989245;10.05109
0.01629305;2;None;-0.1656334;-1.066495;-33.25595;-0.2537203;2.989304;9.888165
0.02496243;2;None;5.456754;-0.06766091;-32.0536;-0.2516013;2.989393;9.638546
0.03386879;2;None;10.08448;1.057281;-32.20801;-0.2487264;2.989514;9.299873
0.06206989;2;None;8.452641;0.9081785;-32.5022;-0.2434575;2.989737;8.679195
0.05622101;2;None;6.789903;0.1574264;-31.43413;-0.238685;2.989938;8.117006
0.08826256;2;None;5.090003;0.249616;-30.04326;-0.2311927;2.990253;7.234413
0.1215672;2;Transparency(Min);2.829059;0.2796852;-28.4445;-0.2208733;2.990689;6.018784
0.1065745;2;Transparency(Min);1.091912;0.7782322;-27.02689;-0.2118265;2.991071;4.953077
0.1651273;2;None;-1.453343;1.471706;-25.1285;-0.1978094;2.991661;3.301865
0.07795334;2;None;-3.96301;2.08561;-24.06219;-0.1911923;2.99194;2.522364
0.05711937;2;Transparency(Mid);-6.241724;2.408007;-23.2829;-0.1863436;2.992145;1.951189
0.1428423;2;None;-7.176004;1.775778;-18.6391;-0.1742182;2.992656;0.5228174
0.08651352;2;None;-7.036457;0.7452914;-17.26208;-0.1668743;2.992966;-0.3422833
0.1671925;2;Transparency(Mid);-6.447883;0.9440573;-17.9734;-0.1526819;2.993565;-2.014153
0.07623482;2;Transparency(Mid);-5.296382;0.8270084;-19.8844;-0.1462106;2.993838;-2.776469
0.1360826;2;Transparency(Low);-3.438194;1.514645;-19.25347;-0.1346589;2.994326;-4.137255
0.3162518;2;Transparency(Low);-3.746408;0.03585871;-16.71166;-0.1078133;2.995458;-7.299655
0.275342;3;None;-9.763746;-11.58198;47.61927;19.65539;2.999997;-9.257847
0.1981049;3;None;-12.6168;-11.64199;46.95099;19.67872;2.999997;-7.276935
0.3381271;3;None;-13.62812;-12.42108;46.46306;19.71854;2.999997;-3.895898
0.1321335;3;Red;-9.659477;-7.772584;24.20332;19.73411;2.999997;-2.574652
0.2182865;3;Red;-18.46672;-14.26118;44.21975;19.75982;2.999997;-0.3919372
0.05349827;3;None;-16.25939;-14.02941;45.127;19.76612;2.999997;0.1430017
0.04730415;3;None;-12.89437;-13.49043;46.25146;19.77169;2.999997;0.616017
0.04673195;3;None;-10.31175;-12.40436;47.0347;19.77719;2.999997;1.083303
0.1302176;3;None;-8.257101;-10.6833;47.55808;19.79253;2.999997;2.385386
0.2291641;3;None;-7.045355;-10.66781;47.22758;19.81953;2.999997;4.676867
0.2861624;3;White;-7.641143;-12.023;45.92648;19.85323;2.999997;7.538293
