GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;Eccentricity;Proximity
0.03130209;1;Size(Max);-4.786724;2.013909;30.01363;-20;2.746503;-11.55143;0;30.35274
0.3002416;1;Size(Max);-4.483985;1.04223;27.47635;-20;2.689919;-8.549551;0;27.78132
0.0279361;1;None;-4.47393;-0.6763344;27.22627;-20;2.684654;-8.270241;0;27.58285
0.05298185;1;Size(Max);-5.149706;0.1994893;26.41165;-20;2.674669;-7.740516;0;26.86501
0.2440712;1;Size(Max);-4.005388;-0.3824939;24.67004;-20;2.628672;-5.30024;0;24.96723
0.257095;1;Size(Mid);-3.087327;-1.892237;22.71988;-20;2.58022;-2.729745;0;23.03877
0.05558968;1;None;-1.589837;-3.295322;22.10078;-20;2.569743;-2.173948;0;22.48639
0.4992723;1;None;-2.302696;-5.716062;17.9042;-20;2.47565;2.817889;0;19.17237
0.1619973;1;Size(Low);-1.120152;-6.974711;13.69082;-20;2.44512;4.437574;0;15.78535
0.1555364;1;Size(Low);-5.226622;-15.80095;30.59041;-20;2.415807;5.992663;0;35.20649
0.1180196;1;Size(Low);-1.147388;-5.602257;12.20546;-20;2.393565;7.172649;0;13.8345
0.3098903;2;Transparency(Min);6.754366;-0.06685975;-32.71133;-0.2315262;2.990291;9.973974;0;33.46828
0.02639675;2;None;7.290421;-1.18786;-32.4422;-0.2294873;2.990376;9.710013;0;33.36948
0.08416462;2;None;5.501455;-1.307009;-31.20231;-0.2229864;2.990649;8.868395;0;31.81976
0.09947252;2;None;5.037736;-2.519446;-29.89465;-0.2153032;2.990972;7.873698;0;30.57132
0.1046877;2;None;3.381088;-3.540077;-28.2188;-0.2072171;2.991311;6.826852;0;28.83672
0.0743885;2;None;1.866739;-4.285411;-26.96076;-0.2014713;2.991552;6.082993;0;27.59712
0.1390285;2;None;2.500873;-8.134389;-35.8389;-0.1907328;2.992002;4.69275;0;37.12271
0.1616397;2;Transparency(Max);3.817992;-11.00582;-34.84574;-0.1782478;2.992526;3.076405;0;37.08995
0.1498528;2;Transparency(Max);1.442602;-11.19702;-34.08944;-0.1666731;2.993012;1.577919;0;36.27919
0.05387783;2;Transparency(Max);4.41822;-12.82575;-33.77278;-0.1625116;2.993186;1.039153;0;36.78854
0.06052208;2;Transparency(Max);0.7089825;-11.84492;-33.50468;-0.1578369;2.993382;0.4339515;0;35.93378
0.1051092;2;Transparency(Max);4.744367;-12.52669;-33.4695;-0.1497182;2.993723;-0.6171122;0;36.43614
0.1410685;2;Transparency(Max);0.8493333;-6.395171;-18.68717;-0.1388221;2.99418;-2.027748;0;20.15458
0.1413212;2;None;-1.960135;-10.68055;-32.69878;-0.1279064;2.994638;-3.440919;0;34.83695
0.05620766;2;None;-4.534396;-7.49106;-32.7154;-0.123565;2.99482;-4.002977;0;34.18126
0.0583725;2;None;-3.783939;-2.490221;-17.38311;-0.1190563;2.995009;-4.586685;0;18.22539
0.3177614;3;Transparency(Low);-3.834949;-2.293867;40.49068;19.82752;2.999999;-9.609128;0;40.73749
0.5480356;3;White;-7.317389;-2.400262;34.61;19.85945;2.999999;-4.128869;0;35.48654
0.1115704;3;None;-10.05523;-3.70898;33.24799;19.86595;2.999999;-3.013182;0;35.00667
0.2369051;3;None;-10.74495;-4.826187;25.83127;19.87976;2.999999;-0.6441729;0;28.53553
0.4240112;3;Red;-9.096956;-4.618646;17.4235;19.90446;2.999999;3.595866;0;20.39683
0.1297359;3;None;-9.697051;-5.75888;21.34002;19.91201;2.999999;4.893206;0;24.34307
0.09811211;3;None;-7.112146;-4.528868;24.26575;19.91773;2.999999;5.874313;0;25.83103
0.1094332;3;None;-2.509718;-3.471768;22.34937;19.9241;2.999999;6.968627;0;22.86462
