Timestamp;Target;PosX;PosY;PosZ
23-18-57;None;0;0;10
23-18-58;None;-0.3660845;0.2554379;9.990032
23-18-58;None;-0.7311537;0.5109;9.96014
23-18-58;None;-1.048471;0.7335483;9.917792
23-18-59;None;2.160145;0.5941464;9.745809
23-18-59;None;-1.077283;0.6614084;9.919778
23-18-59;None;-1.116952;0.489181;9.925378
23-18-59;None;-1.167635;0.342813;9.925679
23-18-59;None;-1.105468;0.1892311;9.936907
23-18-59;None;-1.209097;0.07787652;9.92633
23-19-00;None;-1.343649;-0.05404264;9.909172
23-19-00;None;-1.517496;-0.2375054;9.881335
23-19-00;None;-1.620157;-0.3489493;9.86171
23-19-00;None;-1.596017;-0.5114586;9.858557
23-19-00;None;-1.526368;-0.6735687;9.859844
23-19-01;None;-1.437576;-0.9044999;9.854707
23-19-01;None;-1.509896;-1.100711;9.823882
23-19-01;None;-1.636594;-1.424;9.761854
23-19-01;None;-1.727232;-1.622056;9.715225
23-19-01;None;-1.897913;-1.871835;9.638162
23-19-01;None;-2.045641;-1.901732;9.602019
23-19-01;None;-2.282986;-1.957194;9.537157
23-19-01;None;-2.520819;-2.005454;9.466976
23-19-01;None;-2.800665;-2.105414;9.366082
23-19-01;None;-3.219447;-2.243999;9.197805
23-19-01;None;-3.517587;-2.329399;9.066447
23-19-01;None;-3.942974;-2.438551;8.860386
23-19-01;None;-4.251012;-2.333102;8.745601
23-19-01;None;-4.457928;-2.41611;8.619123
23-19-01;None;-4.599929;-2.575158;8.497601
23-19-01;None;-4.854354;-2.538987;8.365931
23-19-01;None;-5.136942;-2.518857;8.201658
23-19-01;None;-5.378604;-2.531929;8.041141
23-19-01;None;-5.580952;-2.550071;7.896208
23-19-01;None;-5.74229;-2.500153;7.795855
23-19-01;None;-5.902739;-2.493475;7.677256
23-19-01;None;-6.009088;-2.558057;7.572794
23-19-01;None;-5.871516;-2.574186;7.67456
23-19-01;None;-5.678885;-2.564867;7.821235
23-19-02;None;-5.446038;-2.55762;7.987443
23-19-02;None;-5.123153;-2.491892;8.218502
23-19-02;None;-4.79344;-2.437624;8.43095
23-19-02;None;-4.349;-2.264814;8.715322
23-19-02;None;-3.820049;-2.124646;8.994061
23-19-02;None;-3.454056;-1.840361;9.202312
23-19-02;None;-2.997325;-1.705435;9.38656
23-19-02;None;-2.58427;-1.548476;9.535397
23-19-02;None;-2.179622;-1.480991;9.646549
23-19-02;None;-1.631199;-1.402852;9.765818
23-19-02;None;-1.22811;-1.29799;9.839053
23-19-02;None;-0.8494887;-1.218592;9.889054
23-19-02;None;-0.4286995;-1.080963;9.932157
23-19-02;None;-0.05680941;-0.9934699;9.950367
23-19-02;None;0.425682;-0.9333982;9.947239
23-19-02;None;0.8754681;-0.7956533;9.929778
23-19-02;None;1.298694;-0.6956763;9.890877
23-19-02;None;1.554666;-0.7087798;9.852951
23-19-02;None;1.776067;-0.7207436;9.814587
23-19-02;None;1.969203;-0.6409081;9.783224
23-19-02;None;2.115831;-0.6097602;9.75456
23-19-02;None;2.19175;-0.4779888;9.745139
23-19-02;None;2.153827;-0.1670702;9.763868
23-19-02;None;1.927563;0.01034334;9.812461
23-19-02;None;1.727447;0.114532;9.849001
23-19-02;None;1.523198;0.0451947;9.883209
23-19-02;None;1.374673;0.081653;9.904726
23-19-02;None;1.228312;0.1451677;9.923214
23-19-02;None;1.008026;0.148603;9.947954
23-19-03;None;0.7942379;0.02395742;9.968381
23-19-03;None;0.7440335;-0.1812246;9.970635
23-19-03;None;0.8996188;-0.3653968;9.952747
23-19-03;None;1.043151;-0.2754669;9.941628
23-19-03;None;1.213109;-0.3423429;9.92024
23-19-03;None;1.534653;-0.4144368;9.872846
23-19-03;None;1.997004;-0.4604602;9.787745
23-19-03;None;2.556747;-0.5616706;9.651299
23-19-03;None;3.165937;-0.7510582;9.455832
23-19-03;None;3.76535;-0.8251865;9.227199
23-19-03;None;4.402815;-0.9714901;8.925885
23-19-03;None;4.727242;-0.9890479;8.756424
23-19-03;None;4.869819;-0.980902;8.678864
23-19-03;None;4.762702;-0.8399094;8.752784
23-19-03;None;4.907281;-0.8249045;8.673991
23-19-03;None;4.914893;-0.566717;8.690377
23-19-03;None;4.888864;-0.3959499;8.714484
23-19-03;None;4.808713;-0.1793348;8.766078
23-19-03;None;4.71848;0.1311738;8.815824
23-19-03;None;4.681835;0.30351;8.831099
23-19-03;None;4.57499;0.5478126;8.875211
23-19-04;None;4.545038;0.7391126;8.87673
23-19-04;None;4.873285;0.7790491;8.697366
23-19-04;None;5.111945;0.8210366;8.555345
23-19-04;None;5.270696;0.8627023;8.454319
23-19-04;None;5.495024;0.7388577;8.322187
23-19-04;None;5.60309;0.5924907;8.261618
23-19-04;None;5.452724;0.623354;8.359379
23-19-04;None;5.339398;0.4898101;8.441025
23-19-04;None;5.209673;0.4808941;8.522209
23-19-04;None;5.074315;0.5104007;8.601792
23-19-04;None;4.938276;0.4892355;8.681824
23-19-04;None;4.740485;0.5075154;8.790349
23-19-04;None;4.581389;0.4821207;8.875721
23-19-04;None;4.442515;0.496911;8.945229
23-19-04;None;4.234653;0.4850378;9.046129
23-19-04;None;3.940545;0.4237867;9.181095
23-19-04;None;3.613086;0.3374985;9.318353
23-19-04;None;3.364601;0.1772561;9.415308
23-19-04;None;3.024025;0.04696533;9.531687
23-19-04;None;2.740946;0.08859266;9.61662
23-19-05;None;2.368927;-0.002278015;9.715358
23-19-05;None;1.946032;-0.0495775;9.808695
23-19-05;None;1.344189;-0.1745193;9.907709
23-19-05;None;1.027199;-0.4168679;9.938364
23-19-05;None;0.8706927;-0.5351019;9.947641
23-19-05;None;0.5277186;-0.4130334;9.977521
23-19-05;None;0.4103872;-0.3070738;9.986856
23-19-05;None;0.2052721;0.056419;9.997734
23-19-05;None;0.3667241;0.2670512;9.989704
23-19-05;None;0.4324551;0.5605172;9.974909
23-19-05;None;0.6255793;0.5334629;9.966146
23-19-05;None;0.6827165;0.7211107;9.950573
23-19-05;None;0.8749178;0.7310849;9.93479
23-19-05;None;1.003969;0.5350856;9.935076
23-19-05;None;1.059605;0.3745295;9.936647
23-19-05;None;1.255465;0.1714001;9.919396
23-19-05;None;1.475153;0.02036221;9.890577
23-19-05;None;1.593618;-0.08648418;9.871823
23-19-05;None;1.702673;-0.2207729;9.851505
23-19-06;None;1.630161;-0.3834946;9.858778
23-19-06;None;1.441106;-0.4444571;9.88563
23-19-06;None;1.325367;-0.6062439;9.893224
23-19-06;None;1.203724;-0.794549;9.895441
23-19-06;None;1.077798;-1.027223;9.888536
23-19-06;None;0.934737;-1.194661;9.884283
23-19-06;None;0.6961461;-1.434475;9.872065
23-19-06;None;0.4347337;-1.703572;9.844229
23-19-06;None;0.2456834;-1.969758;9.801004
23-19-06;None;0.03913544;-2.158547;9.764176
23-19-06;None;-0.1220479;-2.272895;9.737508
23-19-06;None;-0.2258594;-2.378741;9.710334
23-19-06;None;0.09408262;-2.367203;9.715322
23-19-06;None;0.5942577;-2.357697;9.699903
23-19-06;None;1.149707;-2.424648;9.633237
23-19-06;None;1.728556;-2.459956;9.537333
23-19-06;None;2.34883;-2.542063;9.381947
23-19-06;None;2.932869;-2.662079;9.182137
23-19-06;None;3.3355;-2.76221;9.01358
23-19-06;None;3.831287;-2.85738;8.783883
23-19-06;None;4.237808;-2.906443;8.578671
23-19-06;None;4.779552;-2.890026;8.294795
23-19-06;None;5.459542;-2.906225;7.857943
23-19-06;None;5.87745;-2.847634;7.572752
23-19-06;None;6.55417;-2.667531;7.065914
23-19-06;None;7.082015;-2.468322;6.614564
23-19-06;None;7.633119;-2.268515;6.048912
23-19-06;None;8.184556;-2.104378;5.34646
