GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.06241226;0;None;3.054343;-0.24096;21.41726;0;-1.36144;0;0;0;
0.05690002;0;None;3.1941;-0.3463664;21.41189;0;-1.36144;0;0;0;
0.05652618;0;None;3.396989;-0.4783483;21.40718;0;-1.36144;0;0;0;
0.05632782;0;None;3.571901;-0.5995148;21.399;0;-1.36144;0;0;0;
0.0557251;0;None;3.67405;-0.7336642;21.39518;0;-1.36144;0;0;0;
0.05571365;0;None;3.709912;-0.7893296;21.39525;0;-1.36144;0;0;0;
0.05601883;0;None;3.711166;-0.7708973;21.396;0;-1.36144;0;0;0;
0.05562592;0;None;3.70731;-0.7916797;21.40363;0;-1.36144;0;0;0;
0.05585861;0;None;3.731247;-0.8091451;21.41303;0;-1.36144;0;0;0;
0.05566788;0;None;3.752293;-0.8897189;21.42925;0;-1.36144;0;0;0;
0.05561066;0;None;3.785814;-0.9560481;21.44205;0;-1.36144;0;0;0;
0.05596161;0;None;3.86653;-1.030285;21.4529;0;-1.36144;0;0;0;
0.05557251;0;None;3.97406;-1.038344;21.45874;0;-1.36144;0;0;0;
0.05578995;0;None;4.07306;-1.055025;21.46404;0;-1.36144;0;0;0;
0.0554924;0;None;4.128826;-1.115178;21.4718;0;-1.36144;0;0;0;
0.05574799;0;None;4.121261;-1.186158;21.48105;0;-1.36144;0;0;0;
0.05574417;0;None;4.091975;-1.243121;21.48739;0;-1.36144;0;0;0;
0.05592728;0;None;4.101762;-1.266654;21.48884;0;-1.36144;0;0;0;
0.05543137;0;None;4.152831;-1.279417;21.48891;0;-1.36144;0;0;0;
0.05567169;0;None;4.214567;-1.323237;21.49156;0;-1.36144;0;0;0;
0.05570602;0;None;4.297877;-1.347368;21.4896;0;-1.36144;0;0;0;
0.05574036;0;None;4.387027;-1.37775;21.48869;0;-1.36144;0;0;0;
0.05580139;0;None;4.460635;-1.405036;21.48908;0;-1.36144;0;0;0;
0.05558395;0;None;4.490168;-1.455824;21.49047;0;-1.36144;0;0;0;
0.05575562;0;None;4.500205;-1.525194;21.49158;0;-1.36144;0;0;0;
0.05576706;0;None;4.477135;-1.602292;21.49457;0;-1.36144;0;0;0;
0.05565262;0;None;4.423397;-1.736801;21.49914;0;-1.36144;0;0;0;
0.05591583;0;None;4.380521;-1.779357;21.49707;0;-1.36144;0;0;0;
0.05534744;0;None;4.464657;-1.854428;21.49011;0;-1.36144;0;0;0;
0.05588913;0;None;4.631359;-1.933141;21.47752;0;-1.36144;0;0;0;
0.0556488;0;None;4.833369;-1.960564;21.46158;0;-1.36144;0;0;0;
0.05577469;0;None;4.998028;-1.961473;21.44761;0;-1.36144;0;0;0;
0.05554199;0;None;5.09506;-1.963678;21.43779;0;-1.36144;0;0;0;
0.0557785;0;None;5.1578;-1.950089;21.42806;0;-1.36144;0;0;0;
0.05578613;0;None;5.212169;-1.922338;21.41335;0;-1.36144;0;0;0;
0.05572891;0;None;5.225398;-1.878073;21.39882;0;-1.36144;0;0;0;
0.05324173;0;None;5.226409;-1.841552;21.38356;0;-1.36144;0;0;0;
0.05632401;0;None;5.247901;-1.776244;21.36153;0;-1.36144;0;0;0;
0.05625153;0;None;5.281514;-1.73598;21.34235;0;-1.36144;0;0;0;
0.0559082;0;None;5.324305;-1.754086;21.32464;0;-1.36144;0;0;0;
0.05587006;0;None;5.338793;-1.829369;21.31415;0;-1.36144;0;0;0;
0.05580139;0;None;5.325875;-1.808441;21.30832;0;-1.36144;0;0;0;
